name,slug,address,latitude,longitude,parking_type,total_spaces,is_24h,open_time,close_time,fee_type,amount_yen,duration_minutes,fee_notes,restriction_name,max_length_mm,max_width_mm,max_height_mm,max_weight_kg,spaces_count,restriction_notes,source_url
タイムズ新宿東宝ビル,times-buk0034907,東京都新宿区歌舞伎町1-19,35.692369,139.705622,self_propelled,158,TRUE,,,hourly,330,20,,一般,5000,1900,2100,2000,158,,https://times-info.net/P13-tokyo/C104/park-detail-BUK0034907/
タイムズ新宿歌舞伎町,times-buk0037491,東京都新宿区歌舞伎町1-20,35.692839,139.704503,mechanical,28,TRUE,,,hourly,250,30,,普通車,5000,1900,1550,1500,28,,https://times-info.net/P13-tokyo/C104/park-detail-BUK0037491/
タイムズロッテ新宿歌舞伎町第２,times-buk0072636,東京都新宿区歌舞伎町2-21,35.693494,139.707039,self_propelled,36,TRUE,,,hourly,330,15,,一般,5000,1900,2100,2500,36,,https://times-info.net/P13-tokyo/C104/park-detail-BUK0072636/
タイムズロッテ新宿歌舞伎町第１,times-buk0072635,東京都新宿区歌舞伎町2-20,35.693586,139.707847,self_propelled,82,TRUE,,,hourly,330,15,,一般,5000,1900,2100,2500,82,,https://times-info.net/P13-tokyo/C104/park-detail-BUK0072635/
タイムズハイジア,times-buk0045989,東京都新宿区歌舞伎町2-44,35.692839,139.704194,self_propelled,109,TRUE,,,hourly,250,15,,一般,5000,1900,2100,2500,109,,https://times-info.net/P13-tokyo/C104/park-detail-BUK0045989/
タイムズ小石川２丁目,times-buk0053493,東京都文京区小石川2-4,35.705511,139.753878,self_propelled,5,TRUE,,,hourly,330,15,,一般,5000,1900,2100,2500,5,,https://times-info.net/P13-tokyo/C105/park-detail-BUK0053493/
タイムズ本郷第１０,times-buk0014448,東京都文京区本郷4-9,35.705192,139.759136,self_propelled,6,TRUE,,,hourly,440,20,,一般,5000,1900,2100,2500,6,,https://times-info.net/P13-tokyo/C105/park-detail-BUK0014448/
タイムズ春日１丁目第２,times-buk0064860,東京都文京区春日1-12,35.706314,139.751086,self_propelled,4,TRUE,,,hourly,330,15,,一般,5000,1900,2100,2500,4,,https://times-info.net/P13-tokyo/C105/park-detail-BUK0064860/
タイムズ東上野４丁目第２,times-buk0075733,東京都台東区東上野4-3,35.709331,139.782389,self_propelled,2,TRUE,,,hourly,330,12,,一般,5000,1900,2100,2500,2,,https://times-info.net/P13-tokyo/C106/park-detail-BUK0075733/
タイムズ上野駅前,times-buk0055977,東京都台東区東上野4-3,35.709111,139.782297,self_propelled,28,TRUE,,,hourly,400,12,,一般,5000,1900,2100,2500,28,,https://times-info.net/P13-tokyo/C106/park-detail-BUK0055977/
タイムズ東上野第３９,times-buk0050766,東京都台東区東上野3-37,35.7085,139.782431,self_propelled,2,TRUE,,,hourly,330,15,,一般,5000,1900,2100,2500,2,,https://times-info.net/P13-tokyo/C106/park-detail-BUK0050766/
タイムズ吾妻橋第６,times-buk0063317,東京都墨田区吾妻橋2-16,35.706839,139.806378,self_propelled,7,TRUE,,,hourly,330,30,,一般,5000,1900,2100,2500,7,,https://times-info.net/P13-tokyo/C107/park-detail-BUK0063317/
タイムズ吾妻橋第５,times-buk0029483,東京都墨田区吾妻橋1-20,35.705942,139.804619,self_propelled,4,TRUE,,,hourly,330,30,,一般,5000,1900,2100,2500,4,,https://times-info.net/P13-tokyo/C107/park-detail-BUK0029483/
タイムズ本所吾妻橋第２,times-buk0016224,東京都墨田区吾妻橋1-9,35.704978,139.803167,self_propelled,5,TRUE,,,hourly,330,30,,一般,5000,1900,2100,2500,5,,https://times-info.net/P13-tokyo/C107/park-detail-BUK0016224/
タイムズ江東区役所第１駐車場,times-buk0046615,東京都江東区東陽4-11,35.669361,139.819667,self_propelled,39,TRUE,,,hourly,220,30,,一般,5000,1900,2100,2500,39,,https://times-info.net/P13-tokyo/C108/park-detail-BUK0046615/
タイムズ江東区役所第２駐車場,times-buk0046624,東京都江東区東陽4-11,35.669981,139.819625,self_propelled,20,TRUE,,,hourly,220,30,,一般,5000,1900,2100,2500,20,,https://times-info.net/P13-tokyo/C108/park-detail-BUK0046624/
タイムズ東陽第１３,times-buk0054305,東京都江東区東陽5-31,35.669278,139.818183,self_propelled,5,TRUE,,,hourly,220,20,,一般,5000,1900,2100,2500,5,,https://times-info.net/P13-tokyo/C108/park-detail-BUK0054305/
タイムズ品川区役所,times-buk0043040,東京都品川区広町2-1,35.605325,139.732961,self_propelled,91,TRUE,,,hourly,330,30,,一般,5000,1900,2100,2500,91,,https://times-info.net/P13-tokyo/C109/park-detail-BUK0043040/
タイムズ品川区立中小企業センター,times-buk0043041,東京都品川区西品川1-28,35.605811,139.730925,self_propelled,11,TRUE,,,hourly,330,30,,一般,5000,1900,2100,2500,11,,https://times-info.net/P13-tokyo/C109/park-detail-BUK0043041/
タイムズ二葉１丁目第２,times-buk0054447,東京都品川区二葉1-10,35.604364,139.731183,self_propelled,6,TRUE,,,hourly,220,15,,一般,5000,1900,2100,2500,6,,https://times-info.net/P13-tokyo/C109/park-detail-BUK0054447/
タイムズ目黒区総合庁舎中庭,times-buk0053649,東京都目黒区上目黒2-19,35.63735,139.701517,self_propelled,52,TRUE,,,hourly,400,12,,一般,5000,1900,2100,2500,52,,https://times-info.net/P13-tokyo/C110/park-detail-BUK0053649/
タイムズ中目黒３丁目,times-buk0034618,東京都目黒区中目黒3-21,35.635747,139.702133,self_propelled,5,TRUE,,,hourly,330,20,,一般,5000,1900,2100,2500,5,,https://times-info.net/P13-tokyo/C110/park-detail-BUK0034618/
タイムズ中目黒１丁目,times-buk0017498,東京都目黒区中目黒1-9,35.640314,139.705417,self_propelled,9,TRUE,,,hourly,330,15,,一般,5000,1900,2100,2500,9,,https://times-info.net/P13-tokyo/C110/park-detail-BUK0017498/
タイムズ中目黒駅西口,times-buk0038332,東京都目黒区上目黒3-12,35.641292,139.700578,self_propelled,4,TRUE,,,hourly,220,10,,一般,5000,1900,2100,2500,4,,https://times-info.net/P13-tokyo/C110/park-detail-BUK0038332/
